region,city,revenue,orders,quantity
MA,cantanhede,689.0,1,1
SC,guabiruba,688.78,5,5
MA,ze doca,688.6,5,5
RS,rio pardo,687.88,5,5
SP,santa albertina,686.39,7,9
PR,terra boa,683.79,4,4
MG,jaiba,683.49,6,6
TO,araguatins,681.98,5,5
MG,tocantins,681.38,6,6
MG,rio paranaiba,680.27,9,12
SC,abelardo luz,679.7,6,6
PB,cuite,678.89,3,3
BA,abrantes,678.0,2,2
PE,tracunhaem,677.99,2,2
RS,cacequi,676.99,4,5
SC,rio do campo,674.95,4,6
SP,taquarivai,674.89,3,3
SC,sao ludgero,673.32,3,4
MG,brasilia de minas,671.74,9,10
RO,alta floresta d'oeste,669.89,3,3
SC,papanduva,669.41,8,10
SP,catigua,668.57,6,6
MS,mundo novo,667.99,3,4
SC,palmitos,667.9,5,5
PE,pesqueira,667.79,9,9
RN,itau,666.8,2,2
MG,muzambinho,665.8,9,10
MG,caetanopolis,664.57,8,8
CE,jaguaribe,663.98,5,5
BA,ruy barbosa,662.96,7,8
PA,garrafao do norte,662.89,3,3
MG,piedade de caratinga,662.07,7,8
GO,anicuns,661.93,8,8
RO,jaru,660.59,6,6
BA,medeiros neto,660.24,7,7
MG,campina verde,659.48,10,10
MG,morada nova de minas,658.89,3,4
MG,marilac,657.8,1,2
RS,cidreira,656.12,5,5
BA,livramento de nossa senhora,655.54,5,6
MG,jequeri,655.0,1,1
BA,coribe,654.97,8,8
PE,belem do sao francisco,654.5,2,2
SC,presidente getulio,654.18,6,6
BA,itirucu,653.28,3,3
MA,grajau,652.79,5,5
PR,guaraci,651.9,2,2
MG,baldim,650.99,2,2
MA,santa helena,649.7,3,3
RJ,sapucaia,648.74,5,6
CE,acopiara,647.67,7,8
MG,lagoa formosa,647.57,7,8
RS,tres cachoeiras,646.27,7,10
SC,cunha pora,645.42,5,5
CE,caninde,645.38,6,6
PR,terra rica,644.67,7,7
MG,frei inocencio,644.29,5,5
MG,carmo de minas,643.96,3,3
SP,cajuru,643.76,9,9
MA,buriticupu,640.77,5,6
MA,esperantinopolis,640.61,3,3
SP,salto grande,640.0,1,1
SP,maristela,639.32,4,5
PI,urucui,638.97,4,5
MG,jequitiba,636.9,2,2
TO,miranorte,635.9,2,3
PR,itaperucu,635.84,4,4
SP,nova europa,634.44,8,8
BA,madre de deus,633.32,7,7
RN,jucurutu,632.98,4,4
MG,conceicao dos ouros,632.78,4,4
MS,juti,631.79,4,4
PR,manoel ribas,631.65,4,5
SP,sao bento do sapucai,630.54,7,8
SP,nhandeara,630.26,8,8
MA,cururupu,629.26,3,3
PE,iati,628.99,3,3
PR,santa helena,628.15,9,10
RS,morro reuter,627.34,3,4
SC,palmeira,626.9,3,3
MA,viana,622.97,5,5
CE,alto santo,622.89,3,3
CE,barro,621.89,4,4
MS,camapua,621.29,6,6
MG,belo oriente,620.39,5,10
PR,perola d'oeste,619.9,2,2
MG,monte azul,619.9,5,5
BA,itororo,619.2,2,4
RS,nova hartz,618.88,3,6
SE,sao cristovao,618.69,7,8
MG,mario campos,618.64,3,4
BA,ribeira do pombal,618.19,8,8
MA,maracacume,617.18,4,4
BA,miguel calmon,616.64,5,6
MT,jauru,613.79,5,5
GO,firminopolis,613.49,7,7
RN,acu,613.08,3,4
MS,bataguassu,613.0,5,6
MA,joao lisboa,612.89,5,5
MG,nepomuceno,610.94,9,10
PR,ivai,610.77,2,2
GO,jaragua,610.67,7,7
SE,graccho cardoso,610.0,1,1
RS,santo cristo,609.45,7,7
PA,breves,609.0,1,1
MT,porto dos gauchos,609.0,1,1
SC,anitapolis,608.99,2,2
SP,colina,608.68,9,9
GO,bela vista de goias,608.66,7,8
MG,juatuba,607.9,4,6
PE,goiana,606.93,9,9
CE,itaitinga,606.89,4,4
SP,lindoia,606.03,9,10
RJ,avelar,606.0,4,4
SP,lagoinha,605.98,3,3
CE,guaraciaba do norte,605.15,4,4
PE,jupi,604.9,2,2
BA,conceicao da feira,603.99,2,3
MG,perdoes,603.88,9,10
RJ,comendador levy gasparian,603.69,7,8
PR,capanema,602.59,9,9
MG,itambacuri,601.77,6,8
PR,pirai do sul,601.29,6,7
PI,matias olimpio,600.0,1,5
SP,lavrinhas,599.9,1,1
PI,canto do buriti,599.5,1,1
MG,campanha,598.79,7,9
PR,vere,598.39,3,3
MG,rio pardo de minas,597.69,5,6
SC,pouso redondo,597.29,3,3
RO,nova mamore,594.9,2,2
SP,bady bassitt,594.7,7,8
RS,lavras do sul,593.8,3,3
BA,sobradinho,592.69,5,7
SP,fernando prestes,591.48,6,7
SC,petrolandia,589.85,5,6
SP,paulo de faria,588.58,5,7
SC,passo de torres,587.99,7,7
BA,coronel joao sa,587.99,3,3
MG,lagoa dourada,586.78,5,6
CE,senador pompeu,585.94,4,4
PE,custodia,584.88,5,6
RJ,raposo,584.7,3,4
SP,morungaba,582.69,7,7
SP,uchoa,582.64,3,3
CE,marco,582.6,3,4
PR,ubirata,582.18,7,7
SE,capela,580.94,3,9
SP,santa cruz das palmeiras,580.59,9,9
RS,vera cruz,579.98,4,5
PB,sao bento,579.89,3,3
MG,medina,579.19,6,7
PI,sao jose do divino,579.0,1,1
PE,jaqueira,578.99,3,3
MG,santa cruz de minas,578.89,5,5
AL,tanque d'arca,578.0,2,2
RS,anta gorda,577.7,4,4
RS,horizontina,576.54,7,8
PR,nova aurora,575.89,3,3
MG,aguas vermelhas,574.58,3,6
RN,macaiba,574.44,5,5
MG,mateus leme,574.27,9,10
RS,candelaria,573.39,4,5
PE,sirinhaem,571.88,5,5
MT,nova mutum,571.38,5,5
MG,sapucai-mirim,569.79,4,4
RS,sao jeronimo,569.75,7,9
SP,guaranta,569.29,5,5
MA,sao bento,569.0,2,2
AL,belem,568.99,3,3
RJ,ipiabas,568.87,4,5
RS,soledade,568.79,5,5
MG,alfredo vasconcelos,567.99,3,3
PE,timbauba,567.67,7,7
RJ,silva jardim,567.59,4,6
AL,barra de santo antonio,567.0,2,2
PA,hidreletrica tucurui,564.78,3,4
RS,porto xavier,564.46,5,7
MG,padre carvalho,563.0,1,7
AL,rio largo,562.71,6,6
PR,terra roxa,561.07,3,3
PR,paulo frontin,560.9,5,6
SC,campo ere,560.6,7,8
SP,paranapanema,560.45,11,13
MA,paulino neves,559.99,1,1
ES,marechal floriano,559.64,5,6
SE,nossa senhora das dores,559.0,1,1
PB,desterro,559.0,1,1
CE,paraipaba,558.97,5,5
RJ,rio das flores,558.68,6,6
RS,sao valentim,557.89,3,3
RS,irai,557.89,2,2
BA,morro do chapeu,557.57,7,9
MG,ibiai,556.89,3,3
GO,parauna,556.88,4,4
PR,jesuitas,556.55,4,4
SP,rafard,556.4,5,6
GO,castelandia,554.98,5,5
RS,antonio prado,554.2,5,7
RS,barra do ribeiro,553.78,5,5
PI,oeiras,553.44,6,6
MA,itapecuru mirim,552.97,4,4
SP,rifaina,552.8,2,2
BA,rio do pires,552.8,4,5
CE,paracuru,550.89,4,4
BA,uibai,549.98,4,4
MT,nova bandeirantes,548.51,4,5
RS,sao jose do norte,548.5,7,8
BA,capim grosso,547.89,5,5
SP,apiai,547.57,6,8
PE,surubim,546.87,5,5
GO,orizona,546.81,6,6
PR,teixeira soares,545.69,1,4
RS,sao sepe,544.35,6,8
MG,jeceaba,544.23,6,7
MG,campos gerais,544.06,5,5
SP,cristais paulista,543.78,4,4
RS,pinheiro machado,542.89,5,5
RS,roque gonzales,542.88,5,5
SP,orindiuva,541.78,5,5
SP,guaracai,541.49,5,7
RJ,sao sebastiao do paraiba,540.0,1,1
MT,pedra preta,539.89,4,5
RS,catuipe,539.8,4,5
RS,campo novo,539.79,2,3
SP,sales oliveira,538.15,6,6
PI,piripiri,537.28,7,7
MG,rio novo,536.79,4,4
BA,iguai,535.99,2,2
PI,sao miguel do tapuio,534.0,3,3
RS,cristal,533.0,3,3
MG,francisco sa,532.8,3,3
PR,pitanga,532.7,3,3
ES,rio novo do sul,531.68,6,7
SP,ariranha,531.49,5,5
BA,posto da mata,530.98,4,4
BA,cacule,529.78,3,4
GO,vianopolis,529.67,3,4
BA,tanhacu,528.78,4,4
MS,sao gabriel do oeste,526.72,7,9
MG,canapolis,525.8,5,5
PR,iguaracu,525.7,2,3
SP,eldorado,524.76,6,8
PA,curuca,524.7,3,3
PE,ilha de itamaraca,524.44,4,4
BA,euclides da cunha,524.18,5,5
MG,guimarania,523.9,4,4
MA,fortuna,523.89,3,3
RN,santa cruz,522.74,4,4
RS,sao francisco de paula,520.79,5,5
CE,horizonte,519.99,5,5
AL,mar vermelho,519.98,2,2
PR,campina da lagoa,519.7,2,3
BA,uaua,519.0,4,4
MT,araputanga,517.45,4,6
BA,ubaitaba,517.23,4,4
PE,gloria do goita,516.99,2,2
PR,ivaipora,516.75,7,7
BA,santa cruz cabralia,515.88,5,5
PE,arcoverde,515.8,5,5
PR,bela vista do paraiso,515.49,3,3
MG,lajinha,515.07,3,3
MG,rio acima,513.66,8,9
MG,rio piracicaba,512.75,4,4
PE,limoeiro,511.59,7,7
SP,analandia,511.03,4,4
PR,xambre,511.0,2,2
MG,tiradentes,510.86,4,8
TO,colinas do tocantins,510.5,3,3
SC,ipora do oeste,509.85,6,6
ES,conceicao do castelo,507.83,5,5
MG,ibiraci,507.8,4,4
MT,denise,507.0,2,2
SP,valparaiso,506.92,8,8
MG,pote,506.9,3,3
MG,santo antonio do jacinto,505.49,8,10
RJ,tangua,504.88,6,6
BA,milagres,502.54,2,2
MG,guarara,501.99,2,2
MA,urbano santos,501.79,5,5
SC,sao carlos,500.38,5,8
RJ,cardoso moreira,500.02,6,6
BA,jiquirica,499.99,1,1
SC,vargeao,499.9,1,1
SP,palestina,499.55,10,10
MG,sao tiago,499.27,5,5
RS,jaquirana,499.0,1,1
PR,lobato,498.54,3,3
PE,jatoba,498.25,4,4
PR,barbosa ferraz,497.9,3,4
PA,capanema,497.88,4,8
CE,aracoiaba,497.8,3,3
MG,cachoeira de minas,497.4,7,7
SC,maravilha,497.17,9,9
SP,presidente bernardes,496.85,6,6
BA,potiragua,495.97,7,8
BA,ipupiara,495.0,1,1
PR,altonia,494.9,3,3
SP,general salgado,493.59,6,6
PR,florestopolis,492.7,3,4
PR,ribeirao claro,492.69,5,7
MG,matipo,491.19,4,4
GO,nova aurora,490.0,1,1
MG,caldas,489.7,5,6
RJ,sao sebastiao do alto,488.98,4,6
BA,una,488.78,5,5
PR,senges,487.39,5,7
SC,sao jose do cedro,486.59,5,6
PE,barra de guabiraba,486.4,2,2
MG,pirapetinga,486.39,7,8
ES,muqui,485.48,4,5
SE,barra dos coqueiros,484.82,3,3
BA,piritiba,484.69,6,7
SE,propria,483.89,4,4
RJ,quatis,483.69,5,6
MG,teixeiras,483.58,6,7
PA,carajas,483.22,4,4
RS,tenente portela,482.79,3,3
MA,pindare mirim,481.9,3,3
MG,carai,481.87,6,8
PA,breu branco,481.74,3,3
MG,pedrinopolis,481.01,3,5
PE,feira nova,480.78,5,6
MA,pio xii,479.99,1,1
CE,penaforte,479.89,2,2
SP,guaraci,479.8,2,2
SP,itapirapua paulista,479.8,2,2
BA,cachoeira,479.79,4,4
BA,itarantim,478.97,3,5
MG,alto caparao,478.9,2,2
RJ,sao jose de uba,478.89,3,3
AL,colonia leopoldina,477.98,2,3
CE,carius,477.88,3,4
PE,bom jardim,477.7,2,2
PE,amaraji,476.89,2,2
PB,paulista,475.6,1,1
PR,paula freitas,474.9,1,2
MG,sao joao do manteninha,474.89,3,3
GO,edeia,472.9,4,4
SP,itobi,472.68,7,7
RN,santo antonio,471.8,1,2
SC,rio fortuna,469.39,3,3
GO,alexania,466.67,5,6
MS,bela vista,466.38,3,3
SP,severinia,466.13,5,6
SP,terra roxa,465.88,3,4
RO,rolim de moura,465.05,7,7
BA,utinga,463.78,5,5
RN,nova cruz,462.88,3,3
PR,rio bonito do iguacu,462.8,4,4
PR,areia branca dos assis,462.54,3,3
MG,santa maria de itabira,462.3,4,5
MG,sao joao da ponte,461.84,1,1
SP,pedra bela,460.9,3,3
CE,granja,460.68,5,5
RS,nova petropolis,459.89,8,9
GO,itapirapua,459.8,2,2
MG,carmo da mata,459.7,6,6
SP,tupi paulista,459.41,6,8
MG,tumiritinga,459.0,1,1
SP,magda,458.99,2,2
MG,cabo verde,458.79,3,3
SP,cedral,458.34,6,6
CE,trairi,457.0,2,3
MG,congonhal,455.84,4,4
MG,santa maria do suacui,454.9,2,2
PE,floresta,454.58,6,7
RS,entre-ijuis,454.5,3,4
MG,caputira,454.28,2,2
CE,icapui,454.25,5,5
CE,caririacu,454.0,2,2
MG,conquista,453.88,6,6
RS,sananduva,453.77,6,6
SP,ribeirao branco,452.99,2,2
SC,praia grande,452.74,4,4
RS,dom feliciano,452.05,5,7
BA,fatima,451.9,2,3
GO,cachoeira alta,451.76,6,7
GO,rianapolis,451.68,4,4
PA,vila dos cabanos,451.23,4,4
SC,sao martinho,451.0,2,2
CE,boa viagem,450.99,3,3
MA,tutoia,449.89,2,2
MT,dom aquino,449.8,3,3
BA,pintadas,449.8,2,2
RJ,engenheiro paulo de frontin,449.12,6,7
MG,itueta,448.89,2,3
BA,mutuipe,448.79,4,4
CE,baturite,447.97,3,3
SE,poco verde,447.8,4,4
RN,jardim do serido,445.9,3,3
PE,sao jose do egito,444.7,4,4
SP,quadra,443.9,3,3
GO,bonfinopolis,441.87,2,4
SP,areias,441.86,3,6
PR,cruz machado,441.77,3,3
MG,limeira do oeste,441.7,2,3
PB,solanea,440.0,1,2
PB,rio tinto,439.9,2,2
SP,dobrada,437.5,2,2
RO,ouro preto do oeste,437.49,4,4
MG,inhapim,436.35,7,7
RS,palmares do sul,435.77,5,5
SC,corupa,434.65,4,4
ES,apiaca,434.28,6,6
MG,minas novas,433.77,4,5
PR,bituruna,433.38,5,5
AL,pindoba,432.0,2,2
PR,cambira,432.0,2,3
PR,vera cruz do oeste,431.56,3,3
PR,kalore,429.99,2,2
RS,boa vista do cadeado,429.98,1,1
PR,araruna,429.97,4,4
RS,montauri,429.89,2,2
MG,ipiacu,429.88,3,3
MA,carolina,429.8,2,2
BA,arembepe,429.7,2,3
DF,taguatinga,429.1,4,9
CE,aquiraz,428.99,2,2
RS,nova palma,428.9,2,2
PE,serrita,428.9,2,2
MG,cachoeira de pajeu,428.8,3,3
MS,bodoquena,428.0,2,2
SC,dionisio cerqueira,428.0,3,6
PE,sao joao,427.0,1,1
SP,ibirarema,426.88,5,5
MA,pinheiro,426.8,4,4
PR,santa isabel do ivai,425.9,3,3
BA,ibicarai,424.88,5,5
MA,alcantara,424.8,1,2
PR,sao pedro do ivai,424.74,3,3
SC,ponte serrada,423.9,3,3
BA,itabela,423.89,4,4
MG,gameleiras,423.89,3,3
MG,luminarias,423.8,3,3
ES,mantenopolis,423.79,4,4
MG,sao geraldo,423.78,4,5
SP,roseira,423.68,5,5
SC,nova veneza,422.89,3,3
SP,torrinha,422.67,6,6
PI,castelo do piaui,422.6,2,4
SP,pedrinhas paulista,420.87,4,4
MG,maravilhas,420.81,4,4
CE,sao goncalo do amarante,420.77,5,5
MG,mato verde,420.43,3,6
SE,pinhao,420.0,1,1
BA,nazare,419.84,3,3
SE,poco redondo,419.8,1,2
GO,sanclerlandia,419.79,4,5
MT,cocalinho,418.87,4,6
SC,salto veloso,418.8,4,4
MG,cristalia,418.7,3,3
PR,rio branco do sul,418.57,6,6
MT,alto boa vista,418.0,5,9
BA,gandu,417.7,4,4
PE,caraiba,416.89,2,2
BA,baianopolis,416.3,2,2
MG,pedra azul,416.12,5,5
MG,palma,415.89,4,4
MG,martinho campos,415.2,2,2
MG,bandeira do sul,414.9,2,4
MG,irai de minas,414.89,2,2
PI,esperantina,414.66,4,4
RJ,travessao,414.09,4,5
ES,arace,413.4,4,4
MG,presidente olegario,412.91,6,6
PE,santa maria da boa vista,412.08,2,2
PR,alto piquiri,412.0,1,1
PR,astorga,411.77,7,7
ES,dores do rio preto,411.76,4,5
RS,sao jose do ouro,411.38,5,6
PI,bertolinia,411.0,1,1
PE,brejo da madre de deus,410.8,4,4
MT,porto alegre do norte,410.0,1,1
BA,lagoa real,410.0,1,1
AC,senador guiomard,409.98,2,3
BA,jucurucu,409.98,2,2
RS,aurea,409.5,2,2
MG,rodeiro,409.4,3,3
SC,mondai,409.0,2,3
SP,narandiba,408.98,2,2
PI,eliseu martins,408.98,4,4
SP,santa cruz da conceicao,408.9,4,4
MT,terra nova do norte,408.8,3,3
RN,portalegre,408.8,2,3
MG,martins soares,408.79,6,6
PR,japura,408.5,5,8
PA,bom jesus do tocantins,407.9,3,3
SP,joao ramalho,407.89,3,3
PR,capitao leonidas marques,407.78,5,6
BA,paramirim,407.68,5,7
ES,itaipava,406.84,4,5
SP,silveiras,406.5,3,5
RJ,glicerio,405.99,2,2
PA,capitao poco,405.38,3,3
GO,pontalina,405.0,2,2
ES,itaoca,404.9,2,2
BA,rodelas,404.9,3,3
RS,sao paulo das missoes,404.87,2,3
SP,panorama,404.39,5,5
RJ,werneck,403.89,2,2
MG,jacui,403.74,4,4
RO,nova brasilandia d'oeste,402.8,2,2
SC,lontras,402.5,3,3
MG,bom repouso,402.29,4,4
PR,general carneiro,401.48,5,5
PE,nossa senhora do o,401.0,2,2
SP,brauna,400.79,5,5
PE,ipubi,400.47,3,4
PB,barra de santa rosa,400.4,2,2
BA,sao sebastiao do passe,399.89,5,5
RS,mata,399.85,1,1
RO,sao miguel do guapore,399.44,4,5
BA,ibitira,399.0,1,1
SP,embauba,399.0,1,1
PA,itupiranga,399.0,1,1
RN,sao miguel do gostoso,398.9,2,2
PR,nova santa rosa,398.88,4,4
SP,riolandia,398.8,3,3
BA,ituacu,398.5,3,4
SP,clementina,397.54,4,4
RO,machadinho d'oeste,396.98,3,3
BA,candido sales,396.79,3,3
SP,elias fausto,396.4,5,6
RO,seringueiras,395.99,2,2
RS,erval grande,395.9,2,2
MA,capinzal do norte,395.0,2,2
PE,itambe,394.78,4,4
RS,santo antonio das missoes,393.89,4,5
MT,guaranta do norte,393.87,5,5
MG,perdigao,393.49,7,7
SC,balneario barra do sul,393.3,4,4
SC,balneario rincao,393.0,3,3
MG,piedade dos gerais,392.88,3,3
PA,cameta,392.8,4,4
CE,jardim,392.65,2,2
MG,dom silverio,392.24,4,4
MG,chapada gaucha,391.69,4,4
PR,diamante do norte,391.25,5,6
BA,iraquara,390.8,5,6
PR,carambei,390.8,3,4
CE,amanari,390.0,1,1
SC,governador celso ramos,389.97,3,3
PR,alto parana,389.9,2,2
SP,tabatinga,389.69,5,5
MG,confins,389.0,1,1
CE,ipaporanga,388.9,2,2
PB,pitimbu,388.9,1,1
MG,sao felix de minas,388.9,1,1
SP,santa lucia,388.89,3,3
MG,sao romao,388.49,5,6
GO,agua limpa,388.0,1,1
MG,tombos,387.69,5,5
PR,florai,387.39,2,2
RS,nova bassano,387.24,4,5
MG,capitolio,386.89,5,11
MT,diamantino,386.49,7,7
BA,rio real,386.0,3,4
PR,guaraniacu,385.97,5,5
GO,campos verdes,385.6,1,1
AP,oiapoque,385.0,1,1
GO,vicentinopolis,384.8,2,2
MG,munhoz,384.67,4,5
MT,reserva do cabacal,383.9,2,2
PR,rio azul,383.7,5,5
MG,iapu,383.15,4,5
SC,ibiam,382.99,4,4
PR,ceu azul,382.56,7,7
RJ,rio claro,380.98,3,4
MS,nova alvorada do sul,380.85,3,6
MG,juruaia,380.78,6,6
MG,virgolandia,380.0,2,2
SP,irape,379.98,2,2
AL,anadia,379.89,2,2
SC,balneario arroio do silva,379.88,4,4
CE,ipu,379.88,4,4
BA,bonito,378.8,2,2
MG,manga,378.8,3,3
RS,tupancireta,378.77,4,6
AL,mata grande,378.65,2,3
MT,juara,378.49,5,6
MG,cruzilia,377.9,4,4
RN,apodi,377.89,3,3
SP,sud mennucci,377.87,5,5
SP,colombia,377.72,5,5
GO,joviania,376.97,5,5
MG,santo antonio do amparo,376.72,4,5
MA,cidelandia,375.96,1,4
RS,tucunduva,374.99,3,3
PE,passira,374.98,1,2
MG,chapada do norte,373.9,2,2
SP,adolfo,373.8,5,5
MG,campos altos,373.68,5,5
ES,itapemirim,372.7,4,4
MG,mendes pimentel,372.69,5,5
MS,ladario,372.59,5,6
BA,amelia rodrigues,372.39,3,3
SP,valentim gentil,372.03,3,3
RS,cambara do sul,372.0,1,2
BA,serrolandia,371.9,3,3
SC,aurora,371.9,2,3
BA,caldas do jorro,370.0,1,1
TO,bandeirantes do tocantins,369.98,2,2
GO,indiara,369.91,4,5
BA,antonio cardoso,369.89,2,2
BA,remanso,369.69,5,5
CE,altaneira,369.6,2,4
MG,pingo-d'agua,369.48,1,1
PE,inaja,369.4,2,2
PR,centenario do sul,369.13,4,4
PR,quitandinha,368.9,2,2
SP,pindorama,368.9,2,2
AL,paulo jacinto,368.89,2,2
GO,sao simao,368.6,4,4
BA,itambe,368.6,3,3
TO,conceicao do tocantins,367.97,3,3
CE,aurora,367.69,3,3
MG,santa rita de minas,367.67,3,3
MG,francisco badaro,367.46,3,4
PE,canhotinho,367.0,2,2
ES,agua doce do norte,365.48,4,5
PR,santa tereza do oeste,364.9,3,3
MG,guidoval,364.9,2,2
SC,rio do oeste,364.89,3,3
PI,pedro ii,364.8,2,2
RJ,santanesia,364.5,4,4
MG,itau de minas,364.45,5,5
RN,acari,364.0,1,1
PE,altinho,363.8,2,2
PR,japira,363.79,3,5
ES,pedro canario,363.79,5,5
MG,itinga,363.5,3,4
RS,maximiliano de almeida,363.49,3,3
MG,madre de deus de minas,362.96,3,3
MG,santa margarida,362.9,2,2
PE,camocim de sao felix,362.9,2,3
MG,piedade do rio grande,362.78,3,4
PR,maripa,361.97,3,4
MA,barreirinhas,361.42,4,4
PR,reboucas,361.27,6,7
AL,junqueiro,360.89,2,2
PR,candido de abreu,360.8,4,5
BA,ponto novo,360.0,1,2
RO,alvorada d'oeste,359.98,1,2
MG,sao joao batista do gloria,359.6,3,3
CE,chorozinho,359.0,1,1
MG,iguatama,358.9,4,4
MG,abadia dos dourados,358.9,3,3
SP,alvaro de carvalho,358.0,2,2
MG,taquaracu de minas,358.0,2,2
SP,ribeirao do sul,357.9,3,4
PE,afranio,357.9,2,2
RS,caibate,357.88,2,3
MT,peixoto de azevedo,357.7,4,4
BA,morpara,357.12,2,2
MG,goncalves,356.9,3,4
SP,indiapora,356.67,3,3
SP,sales,356.52,5,5
BA,caravelas,356.4,3,3
PR,tapejara,355.9,2,2
TO,taguatinga,355.79,3,3
SC,tangara,354.9,1,1
BA,caldeirao grande,354.8,3,3
RS,jari,354.8,4,4
RS,redentora,354.59,3,3
SP,florida paulista,353.79,4,4
PR,planalto,353.7,4,4
SP,quintana,353.0,4,4
CE,sucesso,352.9,3,3
PA,rio maria,352.88,3,3
GO,caiaponia,352.78,4,4
PR,sao jorge do ivai,352.52,1,2
MG,montalvania,352.2,3,4
RS,capela de santana,352.0,2,2
SP,itapura,351.87,6,6
MG,serra dos aimores,351.82,5,5
SP,tres fronteiras,350.39,5,5
BA,ibipitanga,349.98,2,2
AL,paripueira,349.9,1,1
MA,bequimao,349.9,1,1
AL,marechal deodoro,349.9,1,1
RS,boa vista das missoes,349.9,1,1
TO,natividade,349.9,1,1
RJ,governador portela,349.8,4,4
CE,arneiroz,349.6,2,4
MG,sao joao do paraiso,349.5,4,4
SP,taciba,348.98,2,2
BA,carinhanha,348.9,2,2
PR,tomazina,348.8,3,3
CE,forquilha,348.47,4,4
ES,sao roque do canaa,348.0,5,5
PA,augusto correa,347.99,3,3
SC,massaranduba,347.86,3,5
MG,bandeira,347.71,3,3
SP,moncoes,346.98,2,2
MA,governador eugenio barros,346.32,1,1
MG,serrania,345.89,2,2
PR,moreira sales,345.67,3,3
SP,arandu,345.5,4,5
GO,ouvidor,345.0,1,3
MG,serra azul de minas,344.99,2,2
CE,aratuba,343.9,2,2
SP,indiana,343.89,3,3
PA,dom eliseu,343.87,5,6
SP,pongai,343.8,4,5
SP,timburi,343.3,3,3
PE,sertania,343.29,4,4
MG,monte verde,343.1,3,3
SC,ascurra,342.6,4,4
PB,imaculada,340.89,3,3
MG,cambuquira,340.76,5,6
BA,iacu,340.7,4,4
RS,santa clara do sul,339.99,2,3
GO,nova veneza,339.95,4,4
CE,pacuja,339.95,1,3
CE,apuiares,339.89,2,2
MG,itacarambi,339.79,3,3
MT,nova lacerda,339.74,1,1
RN,carnaubais,339.0,2,2
MG,prudente de morais,338.99,3,3
RJ,tocos,338.9,2,2
MG,coroaci,338.9,2,2
PR,jundiai do sul,337.97,3,3
MG,sao domingos do prata,337.89,4,5
SP,nipoa,337.8,2,2
SP,jumirim,337.6,3,5
RS,arroio grande,336.77,3,4
SP,tejupa,335.18,3,3
GO,palmeiras de goias,334.8,3,3
SP,macedonia,334.21,4,4
CE,milagres,334.0,2,2
SP,glicerio,333.99,2,2
MA,dom pedro,333.77,3,5
AL,satuba,333.73,2,2
TO,xambioa,333.68,3,3
PR,santa monica,332.88,2,3
SC,guaruja do sul,331.44,4,4
PE,cumaru,330.99,2,2
PR,pien,330.4,4,4
RS,constantina,330.0,1,1
PB,belem,330.0,1,1
CE,monsenhor tabosa,329.8,3,3
BA,tanque novo,329.59,3,3
SP,iacanga,329.39,6,7
SP,jambeiro,329.26,4,6
PI,uniao,329.0,1,1
RS,hulha negra,329.0,1,1
PR,santa terezinha de itaipu,328.94,3,3
MT,arenapolis,328.85,2,3
MG,sao goncalo do rio preto,328.19,3,3
PA,nova ipixuna,328.0,1,2
PR,ribeirao do pinhal,328.0,5,5
MG,jesuania,327.98,5,6
SP,bento de abreu,327.98,2,3
SP,lavinia,326.8,4,4
RN,pendencias,326.5,2,2
RN,goianinha,325.3,3,4
BA,botupora,325.0,1,1
CE,jucas,325.0,1,1
BA,pedrao,325.0,1,1
MG,vieiras,325.0,1,1
RN,montanhas,325.0,1,1
MG,tabuleiro,324.89,2,3
SP,arapei,324.89,2,2
MT,campinapolis,324.86,3,3
BA,barra do mendes,323.99,3,3
RS,sobradinho,323.9,3,3
AL,porto calvo,323.39,2,2
RS,sao jose do hortencio,322.89,2,2
BA,cordeiros,322.75,1,1
MG,campestre,321.7,3,3
MT,juruena,319.9,3,3
MA,sucupira do norte,319.9,2,2
MS,rio negro,319.9,1,1
PR,santa izabel do oeste,319.89,2,2
AL,igaci,319.89,2,2
GO,fazenda nova,319.79,4,4
MG,carmo da cachoeira,319.44,4,4
SP,palmeira d'oeste,319.18,5,5
AP,laranjal do jari,318.8,2,3
PR,joaquim tavora,317.98,3,4
SC,ita,317.89,3,3
MG,rio casca,317.43,5,6
ES,sooretama,317.36,5,7
BA,serra do ramalho,317.09,4,4
MG,sabinopolis,317.08,5,5
MG,dona euzebia,316.89,2,2
PE,ribeirao,316.4,4,4
MG,piranga,316.19,4,4
GO,itapaci,315.8,4,5
ES,iconha,315.74,5,5
MA,bacuri,315.42,3,3
SC,tunapolis,315.39,1,1
TO,sitio novo do tocantins,314.9,2,4
MA,coelho neto,314.9,3,3
BA,monte gordo,314.9,2,2
MG,belo vale,313.8,3,3
MG,conceicao das pedras,313.59,4,5
MA,olho d'agua das cunhas,312.99,2,2
SC,rancho queimado,312.89,2,2
BA,itatim,312.69,3,4
PR,santa mariana,311.25,4,4
SP,sao jose da bela vista,310.84,3,4
MG,soledade de minas,309.94,5,5
MA,sao pedro da agua branca,309.9,1,1
AL,feliz deserto,309.89,2,2
MG,sao tomas de aquino,309.8,3,4
PE,tuparetama,309.8,3,3
SC,monte carlo,309.5,3,3
RS,sertao,309.49,3,5
BA,vereda,309.4,2,2
BA,pocoes,308.99,2,2
PR,mariluz,308.99,2,2
BA,curaca,308.9,3,3
SC,nova itaberaba,308.89,2,2
PR,reserva,308.6,3,4
MG,itanhomi,308.55,4,4
